date,close,high,low,open,codes,volume
20190524,155.0,158.43,154.9,157.615,BABA,21489717
20190528,154.81,157.07,153.22,156.4,BABA,38602961
20190529,152.48,154.385,150.71,153.58,BABA,30073136
20190530,151.07,153.37,150.25,152.36,BABA,17344653
20190531,149.26,150.68,147.95,149.63,BABA,26881219
20190603,149.91,151.77,148.845,149.6,BABA,25254432
20190604,154.15,155.2,150.64,151.56,BABA,27417246
20190605,151.65,156.11,149.31,155.17,BABA,23208594
20190606,151.5,152.7,150.57,152.0,BABA,15762951
20190607,154.23,155.69,152.2135,152.95,BABA,17806880
